,Facility.Name,Facility.City,Facility.State,Facility.Type,Rating.Overall,Rating.Mortality,Rating.Safety,Rating.Readmission,Rating.Experience,Rating.Effectiveness,Rating.Timeliness,Rating.Imaging
225,Nea Baptist Memorial Hospital,Jonesboro,AR,Private,2,Same,Same,Below,Above,Below,Above,Below
226,White River Medical Center,Batesville,AR,Private,3,Same,Same,Above,Same,Same,Above,Above
227,Levi Hospital,Hot Springs,AR,Private,-1,,,,,,,
228,"Arkansas Heart Hospital, Llc",Little Rock,AR,Proprietary,5,Same,Above,Below,Above,Same,Above,Same
229,St Vincent Medical Center/north,Sherwood,AR,Church,3,Same,,Same,Same,Same,Same,Same
230,Arkansas Surgical Hospital,No Little Rock,AR,Proprietary,5,,Above,,Above,Same,,
231,Northwest Health Physicians Specialty Hospital,Fayetteville,AR,Proprietary,-1,,,,Above,Same,Same,
232,Wadley Regional Medical Center At Hope,Hope,AR,Proprietary,2,Same,,Below,Below,Same,Above,Same
233,Baptist Health Medical Center-conway,Conway,AR,Private,4,Same,,Same,Above,Same,Above,Same
234,Arkansas Continued Care Hospital Of Jonesboro,Jonesboro,AR,Proprietary,-1,,,,,,,
235,North Logan Mercy Hospital,Paris,AR,Church,-1,,,,,Same,Same,
236,River Valley Medical Center,Dardanelle,AR,Proprietary,2,,,Below,,Same,Above,
237,Mercy Hospital Turner Memorial,Ozark,AR,Private,3,,,Same,,Same,Same,
238,"Eureka Springs Hospital, Llc",Eureka Springs,AR,Proprietary,3,,,Same,,Same,Above,
239,Mercy Hospital Waldron,Waldron,AR,Private,-1,,,,,Same,Same,
240,"Izard County Medical Center, Llc",Calico Rock,AR,Private,-1,Same,,Below,,,,
241,Crossridge Community Hospital,Wynne,AR,Private,3,Same,,Below,Above,Same,Same,Same
242,Mcgehee Hospital,Mcgehee,AR,Private,-1,,,,,Same,Same,Same
243,Lawrence Memorial Hospital,Walnut Ridge,AR,Government,2,Same,,Below,,Same,Above,Below
244,Stone County Medical Center,Mountain View,AR,Private,4,Same,,Above,,Same,Above,
245,Howard Memorial Hospital,Nashville,AR,Private,3,Same,,Same,,Same,Above,Same
246,Baptist Health Medical Center Heber Spings,Heber Springs,AR,Private,4,Same,,Above,Above,Same,Above,Same
247,Ozark Health,Clinton,AR,Private,3,Same,,Same,,Same,Above,Same
248,"Dewitt Hospital & Nursing Home, Inc",De Witt,AR,Private,3,Same,,Same,,Same,Above,
249,South Missississpi County Regional Medical Center,Osceola,AR,Government,4,Same,,Above,,Same,Same,
250,Dallas County Medical Center,Fordyce,AR,Government,-1,,,,,,,
251,Mercy Hospital Booneville,Booneville,AR,Private,-1,,,,,Same,Same,Same
252,"De Queen Medical Center, Inc",De Queen,AR,Proprietary,-1,Same,,Below,,,,
253,Little River Memorial Hospital,Ashdown,AR,Unknown,-1,,,,,Same,Same,
254,Baptist Health Medical Center-arkadelphia,Arkadelphia,AR,Private,4,Same,,Same,Above,Same,Above,Same
255,Fulton County Hospital,Salem,AR,Unknown,2,Same,,Below,Same,Same,Above,
256,Ashley County Medical Center,Crossett,AR,Private,3,Same,,Below,Above,Same,Above,Below
257,Chi St Vincent Morrilton,Morrilton,AR,Church,-1,Same,,Above,,,,
258,Delta Memorial Hospital,Dumas,AR,Private,2,Same,,Same,,Same,Above,
259,Bradley County Medical Center,Warren,AR,Private,4,Same,,Above,,Below,Same,Same
260,Chicot Memorial Medical Center,Lake Village,AR,Private,2,Same,,Same,,Same,Above,
261,Mercy Hospital Berryville,Berryville,AR,Church,2,Same,,Below,,Same,Same,
262,Piggott Community Hospital,Piggott,AR,Government,-1,Same,,Below,,,,
263,Ozarks Community Hospital Of Gravette,Gravette,AR,Proprietary,3,,,Same,,Same,Above,
264,Arkansas Children's Hospital,Little Rock,AR,Private,-1,,,,,,,
265,"Arkansas Children's Northwest, Inc",Springdale,AR,Private,-1,,,,,,,
266,St Rose Hospital,Hayward,CA,Church,2,Same,Above,Below,Below,Same,Same,Same
267,St Joseph Hospital,Eureka,CA,Private,2,Same,Below,Above,Below,Below,Below,Same
268,Mills-peninsula Medical Center,Burlingame,CA,Private,5,Above,Above,Above,Above,Same,Same,Same
269,California Pacific Medical Ctr-davies Campus Hosp,San Francisco,CA,Unknown,3,Same,Same,Above,Below,Same,Same,Same
270,Queen Of The Valley Medical Center,Napa,CA,Church,3,Same,Above,Above,Below,Same,Below,Same
271,Adventist Health St Helena,Saint Helena,CA,Private,3,Same,Above,Same,Same,Same,Same,Same
272,Sutter Amador Hospital,Jackson,CA,Private,4,Same,Same,Above,Above,Same,Same,Same
273,Mercy General Hospital,Sacramento,CA,Church,3,Same,Below,Same,Above,Same,Below,Above
274,Riverside Community Hospital,Riverside,CA,Proprietary,2,Same,Above,Below,Below,Same,Below,Same
275,Paradise Valley Hospital,National City,CA,Proprietary,2,Same,Above,Above,Below,Same,Below,Same
276,Uc San Diego Health Hillcrest - Hillcrest Med Ctr,San Diego,CA,Unknown,4,Above,Above,Below,Above,Same,Below,Same
277,Grossmont Hospital,La Mesa,CA,Government,2,Below,Above,Below,Below,Same,Below,Same
278,Mad River Community Hospital,Arcata,CA,Proprietary,3,Same,,Above,Same,Same,Same,Same
279,Oroville Hospital,Oroville,CA,Private,1,Above,Below,Below,Below,Below,Below,Below
280,Bakersfield Memorial Hospital,Bakersfield,CA,Private,2,Below,Above,Below,Below,Same,Below,Same
281,Santa Clara Valley Medical Center,San Jose,CA,Government,1,Same,Same,Below,Below,Same,Below,Below
282,Enloe Medical Center,Chico,CA,Private,4,Same,Above,Below,Above,Same,Same,Above
283,Lac/olive View-ucla Medical Center,Sylmar,CA,Unknown,2,,Below,Same,Same,Same,Below,
284,St Elizabeth Community Hospital,Red Bluff,CA,Church,3,Below,Above,Above,Same,Same,Same,Same
285,Alta Bates Summit Medical Center,Oakland,CA,Private,5,Above,Above,Above,Below,Same,Below,Same
286,El Centro Regional Medical Center,El Centro,CA,Government,2,Same,Same,Below,Below,Same,Below,Same
287,California Pacific Medical Ctr-pacific Campus Hosp,San Francisco,CA,Private,4,Above,Below,Above,Below,Above,Below,Below
288,San Gorgonio Memorial Hospital,Banning,CA,Government,3,Same,Same,Same,Same,Same,Below,Same
